zip,population,cost_of_living,area,median_income,zipcode,n_business
53403,26627.0,96.6,9.5,44150.0,53001,24
54423,2410.0,87.6,53.4,76996.0,53002,191
53045,21522.0,102.0,14.4,100149.0,53003,2
53545,23092.0,94.0,24.8,50388.0,53004,105
53405,25526.0,96.5,6.5,53652.0,53005,2800
53719,31790.0,97.9,10.1,75832.0,53006,83
54621,1270.0,88.2,37.7,63302.0,53007,26
53561,1727.0,91.5,36.1,74355.0,53010,34
53065,2379.0,88.5,44.7,64488.0,53011,47
53129,14476.0,99.5,5.1,66995.0,53012,524
53525,4007.0,88.0,55.8,66395.0,53013,61
53168,8752.0,106.0,35.2,75015.0,53014,26
53154,35723.0,100.1,28.5,70660.0,53015,18
54136,6433.0,93.8,2.1,48213.0,53016,1
53051,36695.0,99.8,33.0,77318.0,53017,207
53130,7913.0,100.5,3.2,69198.0,53018,148
54025,7327.0,97.0,48.6,69939.0,53019,163
54082,1420.0,92.6,13.5,114863.0,53020,24
53128,9149.0,84.5,25.4,55980.0,53021,200
53233,16012.0,101.5,1.7,14735.0,53022,160
53186,34513.0,99.7,12.6,58931.0,53023,92
53022,19509.0,100.0,27.9,81688.0,53024,152
53202,25186.0,101.4,2.1,53426.0,53027,218
53225,26611.0,99.1,6.9,43542.0,53029,221
53086,8106.0,99.3,21.5,78933.0,53031,13
54466,2886.0,87.6,303.9,51361.0,53032,38
53092,21525.0,100.6,20.4,97503.0,53033,424
54235,17046.0,82.0,192.2,54141.0,53034,93
53522,1135.0,87.6,38.7,57021.0,53035,97
53091,1927.0,88.0,25.8,56967.0,53036,230
53585,2317.0,88.8,27.3,49227.0,53037,461
53018,8065.0,101.2,11.5,96683.0,53038,158
54720,7467.0,92.2,4.9,52714.0,53039,69
53714,16475.0,97.5,4.6,53114.0,53040,69
53179,6825.0,105.9,10.8,66924.0,53042,19
53406,26625.0,97.2,16.6,61046.0,53044,19
53057,1628.0,87.3,33.0,68643.0,53045,581
54311,35604.0,93.5,64.1,63718.0,53046,50
53528,6100.0,97.3,46.8,88600.0,53047,156
53038,4299.0,82.8,30.2,74924.0,53048,30
53206,25160.0,97.9,2.7,23497.0,53049,31
53916,22874.0,81.0,100.5,51572.0,53050,11
54701,41287.0,92.4,85.9,54213.0,53051,252
54130,26290.0,93.5,79.8,64569.0,53057,111
53189,26587.0,99.9,47.4,85575.0,53058,174
53703,30647.0,104.2,1.8,35129.0,53059,124
53034,1769.0,88.9,8.3,59674.0,53061,71
54915,43238.0,93.0,15.7,66317.0,53063,129
53119,5519.0,92.8,38.6,86573.0,53065,168
54212,1125.0,90.7,32.9,78892.0,53066,144
